id,nome,categoria,especialidades,regiao,dados
h1,HOSPITAL ANCHIETA - Taguatinga,Hospital / Geral,EMERGÊNCIA 24H;Clínica Médica;Obstétrica (Parto);Pediátrica,Taguatinga,"St. C Norte QNC AE Área Especial 8, 9, 10 - Taguatinga. Tel: (61) 3049-9001"
h2,HOSPITAL MANTEVIDA (antigo Anna Nery) - Taguatinga,Hospital / Geral,EMERGÊNCIA 24H;Clínica Médica;Ortopédica;Ginecológica;Obstetrícia (Parto);Pediatria,Taguatinga,"QS 5 a 13 - Taguatinga, Brasília - DF. Tel: (61) 3574-9700"
h3,HOSPITAL ANCHIETA – Ceilândia,Hospital / Geral,EMERGÊNCIA 24H;Clínica Médica;Ortopédica,Ceilândia,"Setor N QNN 28 Módulo C, Ceilândia Sul - DF. Tel: (61) 3378-9000"
h4,HOSPITAL DAHER - LAGO SUL,Hospital / Geral,EMERGÊNCIA 24H;Clínica Médica;Ortopedia;Obstetrícia (Parto);Pediátrica,Lago Sul/Norte,"SHIS, QI 7, Conj. F - Lago Sul, Brasília - DF. Tel: (61) 3213-4848"
h5,HOSPITAL SÃO MATHEUS - Cruzeiro,Hospital / Geral,EMERGÊNCIA 24H;Clínica Médica (24 hs);Ortopedia (07:00 às 19:00hs);Pediátrica (BABY PAD);Obstetrícia (Parto),Cruzeiro,"SRES Quadra 02 Area Especial - Cruzeiro Velho, Brasília - DF. Tel: (61) 3362-0045"
h6,HOSPITAL MANTEVIDA (UNIDADE ASA NORTE),Hospital / Geral,EMERGÊNCIA 24H;Clínica Médica;Ortopédica;Pediátrica,Asa Norte,"SGAN 608 MÓDULO F - Asa Norte, Brasília - DF. Tel: (61) 3574-9700"
h7,HOSPITAL HOME - Asa Sul,Hospital / Geral,EMERGÊNCIA 24H;Clínica Médica;Ortopédica,Asa Sul,"SGAS Quadra 613 - Conjunto C - Asa Sul, Brasília - DF. Tel: (61) 3878-2878"
h8,HOSPITAL BRASILIA (UNIDADE LAGO SUL),Hospital / Geral,EMERGÊNCIA 24H;Clínica Médica;Pediátrica;Ginecológica;AVISO: Atendimentos somente até 31/05/2026,Lago Sul/Norte,"St. de Habitações Individuais Sul QI 15 - Lago Sul. Tel: (61) 3704-9000"
o1,VISÃO HOSPITAL DE OLHOS – ISOB (Taguatinga),Oftalmologia,EMERGÊNCIA OFTALMOLÓGICA 24H,Taguatinga,"St. C Norte CNC 03 Lote 12 - Taguatinga. Tel: (61) 3686-7902"
o2,H. OFTALMOLÓGICO DE BRASÍLIA – HOB,Oftalmologia,EMERGÊNCIA OFTALMOLÓGICA 24H,Asa Sul,"SGAS II St. de Grandes Áreas Sul 607 - Asa Sul. Tel: (61) 3686-4586"
o3,HOSPITAL PACINI - Asa Sul,Oftalmologia,EMERGÊNCIA OFTALMOLÓGICA;Horário: 7:30 as 19:30h (Seg a Sáb),Asa Sul,"SEP Sul 715/915, Asa Sul Brasília DF. Tel: (61) 3214 - 4777"
o4,CENTRO BRASILEIRO DA VISÃO - CBV,Oftalmologia,EMERGÊNCIA OFTALMOLÓGICA 24H,Asa Sul,"Quadra 613 Lote 91, Via L2 Sul - Asa Sul. Tel: (61) 3214-5000"
ot1,CEORL – Sta. Lucia,Clínica Clássica / Especialidades,EMERGÊNCIA OTORRINO;Horário: Seg a Sex das 8h às 17h,Asa Sul,"HLS SHLS 716 Bloco F – Asa Sul, Brasília - DF. Tel: (61) 3346 – 4312"
m1,MATERNIDADE BRASILIA,Hospital / Geral,EMERGÊNCIA OBSTETRÍCIA;EMERGÊNCIA GINECOLOGIA (PARTO);PEDIÁTRICA,Sudoeste,"Setor Shc/Sul Qmsw - 04 Lote 01 S/N – Sudoeste. Tel: (61) 4020-0057"
p1,CLINICA AME ASSISTENCIA MENTAL,Psiquiatria,EMERGÊNCIA PSIQUIÁTRICA 'H. DIA';Horário: 08:00 ÀS 17:00h,Asa Sul,"SEPS Q 709/909 Centro Médico Julio Adnet, Clínica 16. Tel: (61) 4042-8445"
p2,VERSE – Sobradinho,Psiquiatria,INTERNAÇÃO PSIQUIÁTRICA;EMERGÊNCIA PSIQUIÁTRICA 24H,Sobradinho,"Nucleo Rural Lago Oeste Sobradinho-DF Rua 5 Ch 5. Tel: (61) 3553-7002"
p3,CLINICA CRESCER HUMANIZADA,Psiquiatria,EMERGÊNCIA PSIQUIÁTRICA;INTERNAÇÃO PSIQUIÁTRICA 24H,Samambaia,"Colônia Agrícola Sucupira - Chácara 35 - Riacho Fundo II. Tel: Horário 24h"
p4,SYNERGIA HUMANA LTDA,Psiquiatria,EMERGÊNCIA PSIQUIÁTRICA;INTERNAÇÃO PSIQUIÁTRICA 24H,Lago Sul/Norte,"Núcleo Rural des C Cerqueira Synergia Humana - Paranoá. Tel: Horário 24h"
p5,RM CLÍNICA DE REABILITAÇÃO LTDA,Psiquiatria,INTERNAÇÃO PSIQUIÁTRICA;EMERGÊNCIA PSIQUIÁTRICA 24H,Sobradinho,"Rodovia DF 440 KM13, Núcleo Rural de Sobradinho. Tel: (61) 3034-3434"
l1,LABORATÓRIO SABIN DE ANÁLISES CLÍNICAS,Laboratório,Análises Clínicas;Diagnósticos Laboratoriais;Citogenética;Biologia Molecular,Asa Norte,"SAAN QUADRA 03 LOTES 165 A 245. Tel: (61) 3329-8172"
l2,EXAME IMAGEM E LABORATÓRIO,Laboratório,Análises Clínicas;Medicina Diagnóstica por Imagem,Asa Sul,"SHLS QUADRA 716, CONJUNTO B, BLOCO 02 – ASA SUL. Tel: (61) 4004-3881"
l3,EXATO LABORATÓRIO DE ANALÍSES CLÍNICAS,Laboratório,Análises Clínicas Gerais,Planaltina,"QD 04 CONJ H LOTE 41 SALA 101 - SRL – PLANALTINA. Tel: (61) 3389-6404"
l4,LAPAC – LABORATÓRIO DE PATOLOGIA E CLÍNICAS,Laboratório,Análises Clínicas;Patologia Clínica,Taguatinga,"Q QSE ÁREA ESPECIAL 01 SALA 30 SETOR E SUL. Tel: (61) 3083-9863"
l5,LASALUS LABORATÓRIO CLÍNICA LTDA,Laboratório,Análises Clínicas,Santa Maria,"CL 102, LOTE F, LOJA 5 – SANTA MARIA. Tel: (61) 3013-3030"
n1,VIVER CENTRO DE DESENVOLVIMENTO,PNE,PNE;ABA;Psicologia;Fonoaudiologia;Psicopedagogia;Terapia Ocupacional;Psicomotricidade,Asa Norte,"CLN 703, BLOCO H, ENTRADA 56 - ASA NORTE. Tel: (61) 3702-6699"
n2,INTEGRAR INSTITUTO DE REABILITAÇÃO COGNITIVA,PNE,PNE;ABA;Terapia de Integração Sensorial;Fonoaudiologia;Terapia Ocupacional;Psicologia,Asa Sul,"SEPS EQ 714/914 BLOCO A EDIFÍCIO PORTO ALEGRE. Tel: (61) 3245-1160"
n3,CIPP DE BRASÍLIA,PNE,PNE;Psicologia;Psicopedagogia,Asa Norte,"SHCG 714/715 ASA NORTE BLOCO E - LOJA 56. Tel: (61) 99168-5622"
n4,CLÍNICA INTERSER - Multidisciplinar,PNE,PNE;ABA;Psicologia;Psicopedagogia;Fonoaudiologia;Fisioterapia;Nutrição,Asa Norte,"SEPN 504, bloco 'C', Ed. Marianna, sobreloja 20. Tel: (61) 3326-1508"
n5,CLÍNICA RECRIAR PSICOPEDAGOGIA,PNE,PNE;ABA;Psicopedagogia,Asa Norte,"SCRN 708/709 Ed. Angélica Loja 10 a 12. Tel: (61) 3543-9385"
n6,INTERAGE – CLÍNICA INTERDISCIPLINAR,PNE,PNE;ABA;Psicoterapia;Psicomotricidade,Asa Norte,"SMNH 10 QUADRA 02 BLOCO A SALA 901. Tel: (61) 3327 0856"
n7,INSTITUTO SIQUEIRA (NEUROSIQ),PNE,PNE;ABA;Avaliação Neuropsicológica;Psicologia;Psicopedagogia,Asa Norte,"SHLN CNJ 1 BL A SLS 513, EDIFÍCIO BIOSPHERE. Tel: (61) 3246-1386"
n8,ESPAÇO LAVORATO PSICOLOGIA,PNE,PNE;ABA;Bobath;PROMPT;PECS;TEACCH;DENVER;SCERTS Model;TheraSuit;Psicomotricidade;Terapia Ocupacional,Asa Norte,"SGAN 915, ED. GOLDEN OFFICE, SALA 2B. Tel: (61) 99662-1567"
n9,FISIOEMOV - REABILITAÇÃO,PNE,PNE;ABA;PECS;Terapia de Integração Sensorial;Fisioterapia do Movimento,Asa Sul,"SGAS 915, LOTE 70A, ED. ADVANCE I, SALA 230. Tel: (61) 3246-4700"
n10,AVANCE AUTISMO (ÚNICA KIDS),PNE,PNE;ABA;PECS;Terapia de Integração Sensorial,Guará,"TR SIA TRECHO 17, VIA IA4, LOTE 495 (GUARÁ). Tel: (61) 98182-4624"
n11,ANIMA KIDS PSICOLOGIA,PNE,PNE;ABA;PECS,Lago Sul/Norte,"SHIN CA 07, Lago Norte, Brasília, DF. Tel: (61) 99979 5208"
n12,CLIAMA – CRIANÇAS ESPECIAIS,PNE,PNE;ABA;Terapia de Integração Sensorial;Atendimento Psicoológico,Lago Sul/Norte,"N.R. Desembargador Colombo Cerqueria – Paranoá. Tel: (61) 3711-6082"
n13,CEPAI – ATENDIMENTO MULTIDISCIPLINAR,PNE,PNE;ABA;Psicologia;Fonoaudiologia;Nutrição;Terapia Ocupacional;Psicopedagogia,Taguatinga,"QUADRA QNG 39 LOTE 11 ANDAR 1 - TAGUATINGA NORTE. Tel: (61) 3355-2398"
n14,CLINICA SUPERAÇÃO LTDA,PNE,PNE;ABA;Bobath;PROMPT;PECS;TEACCH;DENVER;SCERTS Model;Integração Sensorial;TheraSuit,Taguatinga,"QND 06 CASA 23 TAGUATINGA NORTE-DF. Tel: (61) 99998-4086"
n15,MISRAEL PSICOLOGIA LTDA (M.ISRAEL),PNE,PNE;ABA;Psicoterapia Individual;Psicopedagogia;Terapia Ocupacional,Taguatinga,"ALAMEDA SHOPPING - CSB 02 LOTES 01/04 TORRE B. Tel: (61) 3562-6002"
c2,GEROCLÍNICA ASSISTÊNCIA GERIÁTRICA,Home Care,HOME CARE;Assistência Geriátrica Domiciliar,Asa Norte,"ST SEPN, QD 515 BL. E, SALAS 301 a 317. Tel: (61) 3347-0340"
c3,NOVITÀ HOME CARE SERVIÇOS EM SAÚDE,Home Care,HOME CARE;Internação Domiciliar,Asa Norte,"SGON QUADRA 03 CL LOTE 1/10, SALA 268. Tel: (61) 3041-3218"
c4,QUALITY HEALTH CARE LTDA,Home Care,HOME CARE;Assistência Domiciliar,Guará,"SCIA QUADRA 15 COJUNTO 02 LOTE 03 — CIDADE DO AUTOMÓVEL. Tel: (61) 3346 4613"
c5,HOME ASSISTANCE,Home Care,HOME CARE;Assistência Domiciliar,Guará,"TR SIA TRECHO 17 RUA 14 - GUARA. Tel: (61) 3551-8055"
c6,MEDICARE SERVIÇOS DE EMERGÊNCIA,Home Care,HOME CARE;Emergência Móvel,Núcleo Bandeirante,"QUADRA 02, CONJUNTO C, LOTE 06, PARTE A. Tel: (61) 3772-9750"
c7,REHABILITA - ATENDIMENTO DOMICILIAR,Home Care,HOME CARE;Atendimento Domiciliar Especializado,Taguatinga,"ST. C NORTE LOTE 01 A 12 PRIME TORRE B. Tel: (61) 3554-8978"
ac3,CLINICA GALENO SERVIÇOS MÉDICOS,Clínica Clássica / Especialidades,Endocrinologia;Neurologia;Angiologia;Cardiologia;Clinica Medica;Dermatologia;Ginecologia;Cirurgião Geral;Oftalmologia;Urologia;Pneumologista,Taguatinga,"ST C SUL QSC 3 LOTE 02 TAGUATINGA. Tel: (61) 35438887"
ac4,GASTROCLASS – ENDOSCOPIA DIGESTIVA,Clínica Clássica / Especialidades,Coloproctologia;Endoscopia;Gastrenterologia;Gastropediatria;Neurologia,Taguatinga,"QNC ÁREA ESPECIAL 08/09/10 SALAS 802 A 815. Tel: (61) 3964-2755"
ac5,F.LORENZO POLICLÍNICA DE FISIOTERAPIA,Clínica Clássica / Especialidades,Fisioterapia;Pilates;Acupuntura;Reabilitação Labiríntica;RPG,Taguatinga,"QSE 11 LOTE 01 LOJA 01. Tel: (61) 3043-8680"
ac6,HIDROFÍSIO CLÍNICA DE FISIOTERAPIA,Clínica Clássica / Especialidades,Fisioterapia;Acupuntura;RPG;Hidroterapia,Taguatinga,"QNA 02 Lote 17 – Taguatinga Norte – DF. Tel: (61) 3563-4653"
ac7,INSTITUTO DE RADIOTERAPIA DE TAGUATINGA,Clínica Clássica / Especialidades,Consulta Radioterapeuta;Radioterapia Oncológica,Taguatinga,"ST. C NORTE QNC AE CONDOMÍNIO DA QSB 02. Tel: (61) 3353-9269"
ac8,UNINEURO - UNIDADE DE NEUROLOGIA,Clínica Clássica / Especialidades,Neurologia;Neurocirurgia;Neuropediatria;Fisiatria;Exames Neurológicos,Taguatinga,"QNC Area Especial 08/10, Centro Anchieta, Sala 612. Tel: (61) 3562-3568"
as2,AFYA HOSPITAL DIA,Clínica Clássica / Especialidades,Cirurgia Endovascular;Ortopedia e Traumatologia;Ultrassonografia,Asa Sul,"SGAS I Edifício Office Center Bloco B, salas 4 a 9. Tel: (61) 99514-8879"
as3,ANGIOBRASILIA LTDA,Clínica Clássica / Especialidades,Angiologia;Cirurgia Vascular e Endovascular;Cirurgia Cabeça e Pescoço;Anestesiologia;Dermatologia;Cardiologia;Fisioterapia Respiratória;Ultrassonografia,Asa Sul,"SGAS 915 – CENTRO CLINICO ADVANCE, Sala 231. Tel: (61) 99209-4666"
